Time,Dollar Sales,Product Demo,Digital Coupon,Shelf talk Banner,Price offs,BOGOs
7/17/2016,2134743.519,no,no,no,no,no
7/24/2016,2237769.522,no,no,no,no,no
7/31/2016,1900268.624,no,no,no,yes,no
8/7/2016,2209550.512,no,no,no,yes,no
8/14/2016,2370937.017,no,no,no,yes,no
8/21/2016,2316770.743,no,no,no,yes,no
8/28/2016,2655257.099,no,no,no,no,no
9/4/2016,3487172.864,yes,no,no,no,no
9/11/2016,2589730.993,no,no,no,no,no
9/18/2016,2169238.299,no,no,no,no,no
9/25/2016,1914270.287,no,no,no,no,no
10/2/2016,2059073.125,no,no,no,no,no
10/9/2016,1923818.577,no,no,no,no,yes
10/16/2016,2212044.156,no,no,no,no,no
10/23/2016,2018327.173,no,no,no,no,no
10/30/2016,1999240.665,no,no,no,yes,no
11/6/2016,2125373.135,no,yes,no,yes,no
11/13/2016,2014756.153,no,no,no,yes,no
11/20/2016,1908510.982,no,no,no,yes,no
11/27/2016,415700.8809,no,no,no,yes,no
12/4/2016,646159.9597,no,no,yes,yes,no
12/11/2016,852647.6339,no,yes,yes,yes,no
12/18/2016,981050.0724,no,no,yes,yes,yes
12/25/2016,1164397.623,no,no,yes,no,no
1/1/2017,1206245.022,no,no,no,yes,no
1/8/2017,1343395.162,no,yes,no,yes,no
1/15/2017,1464488.738,no,no,no,yes,yes
1/22/2017,1539524.046,no,no,no,yes,no
1/29/2017,1610937.702,no,no,no,no,no
2/5/2017,2151325.5,no,no,no,no,no
2/12/2017,1727263.394,yes,no,no,no,no
2/19/2017,1695442.439,no,no,yes,no,no
2/26/2017,1837607.211,no,no,yes,no,no
3/5/2017,1921740.766,no,no,yes,no,no
3/12/2017,1864377.917,no,no,yes,no,no
3/19/2017,1903845.432,no,no,no,no,no
3/26/2017,1827349.423,no,no,no,no,no
4/2/2017,1975722.916,no,no,no,no,yes
4/9/2017,2191491.133,no,no,no,no,no
4/16/2017,2455258.434,no,no,no,no,no
4/23/2017,1875223.954,no,no,no,no,no
4/30/2017,1984270.305,no,no,no,no,no
5/7/2017,2099655.328,no,no,no,yes,no
5/14/2017,1976785.963,no,no,no,yes,no
5/21/2017,2153755.29,no,yes,no,yes,no
5/28/2017,2854787.935,no,no,no,yes,no
6/4/2017,2458130.06,no,no,no,yes,no
6/11/2017,2195973.178,no,no,no,yes,no
6/18/2017,2115913.153,no,no,no,yes,no
6/25/2017,2131198.649,no,no,no,yes,no
7/2/2017,3038888.02,no,no,no,no,yes
7/9/2017,2565184.907,no,no,no,no,no
7/16/2017,2182903.898,no,no,no,no,no
7/23/2017,2084004.509,no,no,no,no,no
7/30/2017,1956387.129,no,no,no,yes,no
8/6/2017,2138381.149,no,no,no,yes,no
8/13/2017,2027053.065,no,no,no,yes,no
8/20/2017,2163364.77,no,no,no,yes,no
8/27/2017,2269547.571,no,no,no,no,no
9/3/2017,3060404.734,no,no,no,no,no
9/10/2017,2483911.658,yes,no,no,no,no
9/17/2017,2372464.13,no,no,no,no,no
9/24/2017,1929446.049,no,no,no,no,no
10/1/2017,1936117.975,no,no,no,no,yes
10/8/2017,1908010.878,no,no,no,no,no
10/15/2017,1984912.945,no,no,no,no,no
10/22/2017,1808582.982,no,no,no,no,no
10/29/2017,2230891.788,no,no,no,yes,no
11/5/2017,1845581.514,no,yes,no,yes,no
11/12/2017,1775350.111,no,no,no,yes,no
11/19/2017,2297729.461,no,no,no,yes,no
11/26/2017,1820347.699,no,no,no,yes,no
12/3/2017,1745918.159,no,no,yes,yes,no
12/10/2017,1693434.983,no,yes,yes,yes,yes
12/17/2017,1718228.538,no,no,yes,yes,no
12/24/2017,2286717.274,no,no,yes,no,no
12/31/2017,1810829.848,no,no,no,no,no
1/7/2018,2192996.265,no,no,no,yes,no
1/14/2018,2118785.018,no,yes,no,yes,no
1/21/2018,2250822.9,no,no,no,yes,no
1/28/2018,2179126.174,no,no,yes,yes,no
2/4/2018,3224793.595,no,no,yes,no,yes
2/11/2018,2244304.663,yes,no,yes,no,no
2/18/2018,1844357.224,no,no,yes,no,no
2/25/2018,1984609.374,no,no,no,no,no
3/4/2018,2231722.767,no,no,no,no,no
3/11/2018,2104127.052,no,no,no,no,no
3/18/2018,2150924.373,no,no,no,no,no
3/25/2018,2483062.28,no,no,no,no,no
4/1/2018,2691762.305,no,no,no,no,no
4/8/2018,2082010.805,no,no,no,no,no
4/15/2018,2097117.685,no,no,no,no,no
4/22/2018,2110751.775,no,no,no,no,yes
4/29/2018,2107983.928,no,no,no,no,no
5/6/2018,2320009.987,no,no,no,no,no
5/13/2018,2888432.006,no,no,no,yes,no
5/20/2018,2369666.127,no,no,no,yes,no
5/27/2018,3123209.902,no,yes,no,yes,no
