Time,Dollar Value,Product Demo,Digital Coupon,Shelf talk Banner,Price offs,BOGOs,Dollar Sales
 07-12-15,1976709.731,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 07-19-15,1938236.2,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 07-26-15,2034685.968,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-02-15,2054106.948,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-09-15,2020973.282,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-16-15,2006276.117,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-23-15,1929702.518,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 08-30-15,2079516.102,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 09-06-15,2641021.811,yes,no,no,no,no,Sales > $2.20Mn
 09-13-15,2256347.606,no,no,no,no,no,Sales > $2.20Mn
 09-20-15,1896998.675,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 09-27-15,1710457.411,no,no,no,no,no,Sales < $1.82Mn
 10-04-15,1855919.535,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-11-15,1855696.64,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 10-18-15,1684657.321,no,no,no,no,no,Sales < $1.82Mn
 10-25-15,1717387.259,no,no,no,yes,no,Sales < $1.82Mn
 11-01-15,1884102.946,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 11-08-15,1797323.747,no,yes,no,yes,no,Sales < $1.82Mn
 11-15-15,1843020.263,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 11-22-15,2308243.859,no,no,no,yes,no,Sales > $2.20Mn
 11-29-15,1616239.605,no,no,no,yes,no,Sales < $1.82Mn
 12-06-15,1587443.655,no,no,yes,yes,no,Sales < $1.82Mn
 12-13-15,1705533.793,no,yes,yes,yes,no,Sales < $1.82Mn
 12-20-15,2589456.708,no,no,yes,no,yes,Sales > $2.20Mn
 12-27-15,2032623.219,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 01-03-16,2284605.347,no,no,no,yes,no,Sales > $2.20Mn
